Country,Institutions,Teachers,Learners
Indonesia,2958,6617,711732
Thailand,676,2015,183957
Vietnam,629,5644,169582
Philippines,242,1111,44457
Malaysia,215,484,38129
Myanmar,189,896,19124
Singapore,19,182,10837
